"","X","Measure","Prop","Score","Task"
"1",1,"IGS",0,0.0101666666666667,"ALL"
"2",2,"IGS_proper",0,0.006,"ALL"
"3",3,"IGS_ERV",0,0.0238333333333333,"ALL"
"4",4,"IGS_proper_ERV",0,0.0302,"ALL"
"5",5,"ILL",0,0.024,"ALL"
"6",6,"ILL_proper",0,0.0152,"ALL"
"7",7,"ILL_ERV",0,0.0168333333333333,"ALL"
"8",8,"ILL_proper_ERV",0,0.024,"ALL"
"9",9,"NLL",0,0.2438,"ALL"
"10",10,"SNL",0,0.6952,"ALL"
"11",11,"NLL_ERV",0,0.0116,"ALL"
"12",12,"SNL_ERV",0,0.0407,"ALL"
"13",13,"RCLL",0,0.2523,"ALL"
"14",14,"RCLL_ERV",0,0.0386,"ALL"
"15",15,"C_H",0,0.0211,"ALL"
"16",16,"C_U",0,0.0267,"ALL"
"17",17,"calib_A",0,0.0075,"ALL"
"18",18,"calib_D",0,1.631,"ALL"
"19",19,"IGS",0.1,0.0184,"ALL"
"20",20,"IGS_proper",0.1,0.0053,"ALL"
"21",21,"IGS_ERV",0.1,0.0448,"ALL"
"22",22,"IGS_proper_ERV",0.1,0.0253,"ALL"
"23",23,"ILL",0.1,0.0446,"ALL"
"24",24,"ILL_proper",0.1,0.0163,"ALL"
"25",25,"ILL_ERV",0.1,0.0334,"ALL"
"26",26,"ILL_proper_ERV",0.1,0.0208,"ALL"
"27",27,"NLL",0.1,0.2573,"ALL"
"28",28,"SNL",0.1,0.3608,"ALL"
"29",29,"NLL_ERV",0.1,0.0099,"ALL"
"30",30,"SNL_ERV",0.1,0.0326,"ALL"
"31",31,"RCLL",0.1,0.2468,"ALL"
"32",32,"RCLL_ERV",0.1,0.0337,"ALL"
"33",33,"C_H",0.1,0.024,"ALL"
"34",34,"C_U",0.1,0.0307,"ALL"
"35",35,"calib_A",0.1,0.0113,"ALL"
"36",36,"calib_D",0.1,2.5456,"ALL"
"37",37,"IGS",0.2,0.013,"ALL"
"38",38,"IGS_proper",0.2,0.006,"ALL"
"39",39,"IGS_ERV",0.2,0.026,"ALL"
"40",40,"IGS_proper_ERV",0.2,0.035,"ALL"
"41",41,"ILL",0.2,0.0326666666666667,"ALL"
"42",42,"ILL_proper",0.2,0.014,"ALL"
"43",43,"ILL_ERV",0.2,0.0213333333333333,"ALL"
"44",44,"ILL_proper_ERV",0.2,0.0255,"ALL"
"45",45,"NLL",0.2,0.3592,"ALL"
"46",46,"SNL",0.2,1.1786,"ALL"
"47",47,"NLL_ERV",0.2,0.0105,"ALL"
"48",48,"SNL_ERV",0.2,0.0341,"ALL"
"49",49,"RCLL",0.2,0.2474,"ALL"
"50",50,"RCLL_ERV",0.2,0.0333,"ALL"
"51",51,"C_H",0.2,0.0287,"ALL"
"52",52,"C_U",0.2,0.0197,"ALL"
"53",53,"calib_A",0.2,0.0108,"ALL"
"54",54,"calib_D",0.2,2.4133,"ALL"
"55",55,"IGS",0.3,0.017,"ALL"
"56",56,"IGS_proper",0.3,0.0079,"ALL"
"57",57,"IGS_ERV",0.3,0.052,"ALL"
"58",58,"IGS_proper_ERV",0.3,0.0372,"ALL"
"59",59,"ILL",0.3,0.042,"ALL"
"60",60,"ILL_proper",0.3,0.0196,"ALL"
"61",61,"ILL_ERV",0.3,0.0405,"ALL"
"62",62,"ILL_proper_ERV",0.3,0.0257,"ALL"
"63",63,"NLL",0.3,0.3028,"ALL"
"64",64,"SNL",0.3,0.6022,"ALL"
"65",65,"NLL_ERV",0.3,0.0124,"ALL"
"66",66,"SNL_ERV",0.3,0.0432,"ALL"
"67",67,"RCLL",0.3,0.2658,"ALL"
"68",68,"RCLL_ERV",0.3,0.0428,"ALL"
"69",69,"C_H",0.3,0.039,"ALL"
"70",70,"C_U",0.3,0.0314,"ALL"
"71",71,"calib_A",0.3,0.0111,"ALL"
"72",72,"calib_D",0.3,3.2845,"ALL"
"73",73,"IGS",0.4,0.0138,"ALL"
"74",74,"IGS_proper",0.4,0.0034,"ALL"
"75",75,"IGS_ERV",0.4,0.0436,"ALL"
"76",76,"IGS_proper_ERV",0.4,0.0178,"ALL"
"77",77,"ILL",0.4,0.0334,"ALL"
"78",78,"ILL_proper",0.4,0.0085,"ALL"
"79",79,"ILL_ERV",0.4,0.0332,"ALL"
"80",80,"ILL_proper_ERV",0.4,0.0136,"ALL"
"81",81,"NLL",0.4,0.3409,"ALL"
"82",82,"SNL",0.4,0.8755,"ALL"
"83",83,"NLL_ERV",0.4,0.0122,"ALL"
"84",84,"SNL_ERV",0.4,0.0345,"ALL"
"85",85,"RCLL",0.4,0.3492,"ALL"
"86",86,"RCLL_ERV",0.4,0.0311,"ALL"
"87",87,"C_H",0.4,0.0389,"ALL"
"88",88,"C_U",0.4,0.0443,"ALL"
"89",89,"calib_A",0.4,0.0105,"ALL"
"90",90,"calib_D",0.4,2.3356,"ALL"
"91",91,"IGS",0.5,0.0173333333333333,"ALL"
"92",92,"IGS_proper",0.5,0.0046,"ALL"
"93",93,"IGS_ERV",0.5,0.0716666666666667,"ALL"
"94",94,"IGS_proper_ERV",0.5,0.0265,"ALL"
"95",95,"ILL",0.5,0.0396666666666667,"ALL"
"96",96,"ILL_proper",0.5,0.0118,"ALL"
"97",97,"ILL_ERV",0.5,0.0543333333333333,"ALL"
"98",98,"ILL_proper_ERV",0.5,0.0229,"ALL"
"99",99,"NLL",0.5,0.2652,"ALL"
"100",100,"SNL",0.5,0.7505,"ALL"
"101",101,"NLL_ERV",0.5,0.0099,"ALL"
"102",102,"SNL_ERV",0.5,0.0312,"ALL"
"103",103,"RCLL",0.5,0.3242,"ALL"
"104",104,"RCLL_ERV",0.5,0.0272,"ALL"
"105",105,"C_H",0.5,0.0351,"ALL"
"106",106,"C_U",0.5,0.0446,"ALL"
"107",107,"calib_A",0.5,0.0104,"ALL"
"108",108,"calib_D",0.5,2.7681,"ALL"
"109",109,"IGS",0.6,0.0255,"ALL"
"110",110,"IGS_proper",0.6,0.0046,"ALL"
"111",111,"IGS_ERV",0.6,0.0885,"ALL"
"112",112,"IGS_proper_ERV",0.6,0.0196,"ALL"
"113",113,"ILL",0.6,0.0605,"ALL"
"114",114,"ILL_proper",0.6,0.0128,"ALL"
"115",115,"ILL_ERV",0.6,0.0665,"ALL"
"116",116,"ILL_proper_ERV",0.6,0.014,"ALL"
"117",117,"NLL",0.6,0.2545,"ALL"
"118",118,"SNL",0.6,0.5588,"ALL"
"119",119,"NLL_ERV",0.6,0.01,"ALL"
"120",120,"SNL_ERV",0.6,0.0287,"ALL"
"121",121,"RCLL",0.6,0.2177,"ALL"
"122",122,"RCLL_ERV",0.6,0.0148,"ALL"
"123",123,"C_H",0.6,0.0405,"ALL"
"124",124,"C_U",0.6,0.0521,"ALL"
"125",125,"calib_A",0.6,0.0108,"ALL"
"126",126,"calib_D",0.6,2.1241,"ALL"
"127",127,"IGS",0.7,0.0226666666666667,"ALL"
"128",128,"IGS_proper",0.7,0.0046,"ALL"
"129",129,"IGS_ERV",0.7,0.085,"ALL"
"130",130,"IGS_proper_ERV",0.7,0.0202,"ALL"
