"","X","Measure","Prop","Score","Task"
"1",1,"IGS",0,0.0128571428571429,"ALL"
"2",2,"IGS_proper",0,0.0048,"ALL"
"3",3,"IGS_ERV",0,0.0564285714285714,"ALL"
"4",4,"IGS_proper_ERV",0,0.0269,"ALL"
"5",5,"ILL",0,0.03,"ALL"
"6",6,"ILL_proper",0,0.0121,"ALL"
"7",7,"ILL_ERV",0,0.0418571428571429,"ALL"
"8",8,"ILL_proper_ERV",0,0.0215,"ALL"
"9",9,"NLL",0,0.3694,"ALL"
"10",10,"SNL",0,0.8982,"ALL"
"11",11,"NLL_ERV",0,0.0065,"ALL"
"12",12,"SNL_ERV",0,0.0222,"ALL"
"13",13,"RCLL",0,0.3645,"ALL"
"14",14,"RCLL_ERV",0,0.0291,"ALL"
"15",15,"C_H",0,0.0296,"ALL"
"16",16,"C_U",0,0.0237,"ALL"
"17",17,"calib_A",0,0.0103,"ALL"
"18",18,"calib_D",0,1.7439,"ALL"
"19",19,"IGS",0.1,0.01125,"ALL"
"20",20,"IGS_proper",0.1,0.0045,"ALL"
"21",21,"IGS_ERV",0.1,0.032,"ALL"
"22",22,"IGS_proper_ERV",0.1,0.0185,"ALL"
"23",23,"ILL",0.1,0.02475,"ALL"
"24",24,"ILL_proper",0.1,0.0131,"ALL"
"25",25,"ILL_ERV",0.1,0.02375,"ALL"
"26",26,"ILL_proper_ERV",0.1,0.0131,"ALL"
"27",27,"NLL",0.1,0.3553,"ALL"
"28",28,"SNL",0.1,0.7928,"ALL"
"29",29,"NLL_ERV",0.1,0.012,"ALL"
"30",30,"SNL_ERV",0.1,0.0321,"ALL"
"31",31,"RCLL",0.1,0.2628,"ALL"
"32",32,"RCLL_ERV",0.1,0.0391,"ALL"
"33",33,"C_H",0.1,0.021,"ALL"
"34",34,"C_U",0.1,0.0312,"ALL"
"35",35,"calib_A",0.1,0.0122,"ALL"
"36",36,"calib_D",0.1,1.944,"ALL"
"37",37,"IGS",0.2,0.0108,"ALL"
