"","X","Measure","Prop","Score","Task"
"1",1,"IGS",0,0.023,"CarpenterFdaData"
"2",2,"IGS_proper",0,0.041,"CarpenterFdaData"
"3",3,"ILL",0,2.0305,"CarpenterFdaData"
"4",4,"ILL_proper",0,2.0265,"CarpenterFdaData"
"5",5,"NLL",0,1.03,"CarpenterFdaData"
"6",6,"SNL",0,1.424,"CarpenterFdaData"
"7",7,"RCLL",0,1.2035,"CarpenterFdaData"
"8",8,"C_H",0,0.0295,"CarpenterFdaData"
"9",9,"C_U",0,0.022,"CarpenterFdaData"
"10",10,"IGS",0.1,0.0285,"CarpenterFdaData"
"11",11,"IGS_proper",0.1,0.0205,"CarpenterFdaData"
"12",12,"ILL",0.1,5.3135,"CarpenterFdaData"
"13",13,"ILL_proper",0.1,5.384,"CarpenterFdaData"
"14",14,"NLL",0.1,1.919,"CarpenterFdaData"
"15",15,"SNL",0.1,2.206,"CarpenterFdaData"
"16",16,"RCLL",0.1,3.363,"CarpenterFdaData"
"17",17,"C_H",0.1,0.0355,"CarpenterFdaData"
"18",18,"C_U",0.1,0.0505,"CarpenterFdaData"
"19",19,"IGS",0.2,0.021,"CarpenterFdaData"
"20",20,"IGS_proper",0.2,0.0405,"CarpenterFdaData"
"21",21,"ILL",0.2,13.488,"CarpenterFdaData"
"22",22,"ILL_proper",0.2,14.4565,"CarpenterFdaData"
"23",23,"NLL",0.2,0.765,"CarpenterFdaData"
"24",24,"SNL",0.2,0.5165,"CarpenterFdaData"
"25",25,"RCLL",0.2,2.0625,"CarpenterFdaData"
"26",26,"C_H",0.2,0.011,"CarpenterFdaData"
"27",27,"C_U",0.2,0.039,"CarpenterFdaData"
"28",28,"IGS",0.3,0.1425,"CarpenterFdaData"
"29",29,"IGS_proper",0.3,0.1455,"CarpenterFdaData"
"30",30,"ILL",0.3,8.9485,"CarpenterFdaData"
"31",31,"ILL_proper",0.3,8.9635,"CarpenterFdaData"
"32",32,"NLL",0.3,1.5365,"CarpenterFdaData"
"33",33,"SNL",0.3,3.3685,"CarpenterFdaData"
"34",34,"RCLL",0.3,3.87,"CarpenterFdaData"
"35",35,"C_H",0.3,0.0655,"CarpenterFdaData"
"36",36,"C_U",0.3,0.1085,"CarpenterFdaData"
"37",37,"IGS",0.4,0.072,"CarpenterFdaData"
"38",38,"IGS_proper",0.4,0.0805,"CarpenterFdaData"
"39",39,"ILL",0.4,14.654,"CarpenterFdaData"
"40",40,"ILL_proper",0.4,13.8035,"CarpenterFdaData"
"41",41,"NLL",0.4,0.961,"CarpenterFdaData"
"42",42,"SNL",0.4,2.058,"CarpenterFdaData"
"43",43,"RCLL",0.4,3.9205,"CarpenterFdaData"
"44",44,"C_H",0.4,0.0325,"CarpenterFdaData"
"45",45,"C_U",0.4,0.011,"CarpenterFdaData"
"46",46,"IGS",0.5,0.102,"CarpenterFdaData"
"47",47,"IGS_proper",0.5,0.103,"CarpenterFdaData"
"48",48,"ILL",0.5,13.61,"CarpenterFdaData"
"49",49,"ILL_proper",0.5,12.5995,"CarpenterFdaData"
"50",50,"NLL",0.5,1.867,"CarpenterFdaData"
