"Measure","Prop","Score","Task"
"IGS",0,0.0101666666666667,"ALL"
"IGS_proper",0,0.006,"ALL"
"ILL",0,0.024,"ALL"
"ILL_proper",0,0.0152,"ALL"
"NLL",0,0.2438,"ALL"
"SNL",0,0.6952,"ALL"
"RCLL",0,0.2523,"ALL"
"C_H",0,0.0211,"ALL"
"C_U",0,0.0267,"ALL"
"calib_A",0,0.0075,"ALL"
"calib_D",0,1.631,"ALL"
"IGS",0.1,0.0184,"ALL"
"IGS_proper",0.1,0.0053,"ALL"
"ILL",0.1,0.0446,"ALL"
"ILL_proper",0.1,0.0163,"ALL"
"NLL",0.1,0.2573,"ALL"
"SNL",0.1,0.3608,"ALL"
"RCLL",0.1,0.2468,"ALL"
"C_H",0.1,0.024,"ALL"
"C_U",0.1,0.0307,"ALL"
"calib_A",0.1,0.0113,"ALL"
"calib_D",0.1,2.5456,"ALL"
"IGS",0.2,0.013,"ALL"
"IGS_proper",0.2,0.006,"ALL"
"ILL",0.2,0.0326666666666667,"ALL"
"ILL_proper",0.2,0.014,"ALL"
"NLL",0.2,0.3592,"ALL"
"SNL",0.2,1.1786,"ALL"
"RCLL",0.2,0.2474,"ALL"
"C_H",0.2,0.0287,"ALL"
"C_U",0.2,0.0197,"ALL"
"calib_A",0.2,0.0108,"ALL"
"calib_D",0.2,2.4133,"ALL"
"IGS",0.3,0.017,"ALL"
"IGS_proper",0.3,0.0079,"ALL"
"ILL",0.3,0.042,"ALL"
"ILL_proper",0.3,0.0196,"ALL"
"NLL",0.3,0.3028,"ALL"
"SNL",0.3,0.6022,"ALL"
"RCLL",0.3,0.2658,"ALL"
"C_H",0.3,0.039,"ALL"
"C_U",0.3,0.0314,"ALL"
"calib_A",0.3,0.0111,"ALL"
"calib_D",0.3,3.2845,"ALL"
"IGS",0.4,0.0138,"ALL"
"IGS_proper",0.4,0.0034,"ALL"
"ILL",0.4,0.0334,"ALL"
"ILL_proper",0.4,0.0085,"ALL"
"NLL",0.4,0.3409,"ALL"
"SNL",0.4,0.8755,"ALL"
"RCLL",0.4,0.3492,"ALL"
"C_H",0.4,0.0389,"ALL"
"C_U",0.4,0.0443,"ALL"
"calib_A",0.4,0.0105,"ALL"
"calib_D",0.4,2.3356,"ALL"
"IGS",0.5,0.0173333333333333,"ALL"
"IGS_proper",0.5,0.0046,"ALL"
"ILL",0.5,0.0396666666666667,"ALL"
"ILL_proper",0.5,0.0118,"ALL"
"NLL",0.5,0.2652,"ALL"
"SNL",0.5,0.7505,"ALL"
"RCLL",0.5,0.3242,"ALL"
"C_H",0.5,0.0351,"ALL"
"C_U",0.5,0.0446,"ALL"
"calib_A",0.5,0.0104,"ALL"
"calib_D",0.5,2.7681,"ALL"
"IGS",0.6,0.0255,"ALL"
"IGS_proper",0.6,0.0046,"ALL"
"ILL",0.6,0.0605,"ALL"
"ILL_proper",0.6,0.0128,"ALL"
"NLL",0.6,0.2545,"ALL"
"SNL",0.6,0.5588,"ALL"
